,AccountID,AccountType,Industry,BusinessType,Country,Internal_External,f_parent
636,0012e0000037tSkAAI,Business Organization,Education,Not for profit,Australia,Internal,0
637,0012e0000037tSlAAI,Business Organization,Education,Not for profit,Australia,Internal,0
638,0012e0000037tSmAAI,Business Organization,Education,Not for profit,Australia,Internal,0
639,0012e0000037tSnAAI,Business Organization,Education,Not for profit,Australia,Internal,0
640,0012e0000037tSoAAI,Business Organization,Education,Not for profit,Australia,Internal,0
641,0012e0000037tSpAAI,Business Organization,Education,Not for profit,Australia,Internal,0
642,0012e0000037tSqAAI,Business Organization,Education,Not for profit,Australia,Internal,0
643,0012e0000037tSrAAI,Business Organization,Education,Not for profit,Australia,Internal,0
644,0012e0000037tSsAAI,Business Organization,Education,Not for profit,Australia,Internal,0
645,0012e0000037tStAAI,Business Organization,Education,Not for profit,Australia,Internal,0
646,0012e0000037tSuAAI,Business Organization,Education,Not for profit,Australia,Internal,0
647,0012e0000037tSvAAI,Business Organization,Education,Not for profit,Australia,Internal,0
648,0012e0000037tSwAAI,Business Organization,Education,Not for profit,Australia,Internal,0
649,0012e0000037tSxAAI,Business Organization,Education,Not for profit,Australia,Internal,0
650,0012e0000037tSyAAI,Business Organization,Education,Not for profit,Australia,Internal,0
651,0012e0000037tSzAAI,Business Organization,Education,Not for profit,Australia,Internal,0
652,0012e0000037tT0AAI,Business Organization,Education,Not for profit,Australia,Internal,0
653,0012e0000037tT1AAI,Business Organization,Education,Not for profit,Australia,Internal,0
654,0012e0000037tT2AAI,Business Organization,Education,Not for profit,Australia,Internal,0
655,0012e0000037tT3AAI,Business Organization,Education,Not for profit,Australia,Internal,0
656,0012e0000037tT4AAI,Business Organization,Education,Not for profit,Australia,Internal,0
657,0012e0000037tT5AAI,Business Organization,Education,Not for profit,Australia,Internal,0
658,0012e0000037tT6AAI,Business Organization,Education,Not for profit,Australia,Internal,0
659,0012e0000037tT7AAI,Business Organization,Education,Not for profit,Australia,Internal,0
660,0012e0000037tT8AAI,Business Organization,Education,Not for profit,Australia,Internal,0
661,0012e0000037tT9AAI,Business Organization,Education,Not for profit,Australia,Internal,0
662,0012e0000037tTAAAY,Business Organization,Education,Not for profit,Australia,Internal,0
663,0012e0000037tTBAAY,Business Organization,Education,Not for profit,Australia,Internal,0
664,0012e0000037tTCAAY,Business Organization,Education,Not for profit,Australia,Internal,0
665,0012e0000037tTDAAY,Business Organization,Education,Not for profit,Australia,Internal,0
666,0012e0000037tTEAAY,Business Organization,Education,Not for profit,Australia,Internal,0
667,0012e0000037tTFAAY,Business Organization,Education,Not for profit,Australia,Internal,0
668,0012e0000037tTGAAY,Business Organization,Education,Not for profit,Australia,Internal,0
669,0012e0000037tTHAAY,Business Organization,Education,Not for profit,Australia,Internal,0
670,0012e0000037tTIAAY,Business Organization,Education,Not for profit,Australia,Internal,0
671,0012e0000037tTJAAY,Business Organization,Education,Not for profit,Australia,Internal,0
672,0012e0000037tTKAAY,Business Organization,Education,Not for profit,Australia,Internal,0
673,0012e0000037tTLAAY,Business Organization,Education,Not for profit,Australia,Internal,0
674,0012e0000037tTMAAY,Business Organization,Education,Not for profit,Australia,Internal,0
675,0012e0000037tTNAAY,Business Organization,Education,Not for profit,Australia,Internal,0
676,0012e0000037tTOAAY,Business Organization,Education,Not for profit,Australia,Internal,0
677,0012e0000037tTPAAY,Business Organization,Education,Not for profit,Australia,Internal,0
678,0012e0000037tTQAAY,Business Organization,Education,Not for profit,Australia,Internal,0
679,0012e0000037tTRAAY,Business Organization,Education,Not for profit,Australia,Internal,0
680,0012e0000037tTSAAY,Business Organization,Education,Not for profit,Australia,Internal,0
681,0012e0000037tTTAAY,Business Organization,Education,Not for profit,Australia,Internal,0
682,0012e0000037tTUAAY,Business Organization,Education,Not for profit,Australia,Internal,0
683,0012e0000037tTVAAY,Business Organization,Education,Not for profit,Australia,Internal,0
684,0012e0000037tTWAAY,Business Organization,Education,Not for profit,Australia,Internal,0
685,0012e0000037tTXAAY,Business Organization,Education,Not for profit,Australia,Internal,0
686,0012e0000037tTYAAY,Business Organization,Education,Not for profit,Australia,Internal,0
687,0012e0000037tTZAAY,Business Organization,Education,Not for profit,Australia,Internal,0
688,0012e0000037tTaAAI,Business Organization,Education,Not for profit,Australia,Internal,0
689,0012e0000037tTbAAI,Business Organization,Education,Not for profit,Australia,Internal,0
690,0012e0000037tTcAAI,Business Organization,Education,Not for profit,Australia,Internal,0
691,0012e0000037tTdAAI,Business Organization,Education,Not for profit,Australia,Internal,0
692,0012e0000037tTeAAI,Business Organization,Education,Not for profit,Australia,Internal,0
693,0012e0000037tTfAAI,Business Organization,Education,Not for profit,Australia,Internal,0
694,0012e0000037tTgAAI,Business Organization,Education,Not for profit,Australia,Internal,0
695,0012e0000037tThAAI,Business Organization,Education,Not for profit,Australia,Internal,0
696,0012e0000037tTiAAI,Business Organization,Education,Not for profit,Australia,Internal,0
697,0012e0000037tTjAAI,Business Organization,Education,Not for profit,Australia,Internal,0
698,0012e0000037tTkAAI,Business Organization,Education,Not for profit,Australia,Internal,0
699,0012e0000037tTlAAI,Business Organization,Education,Not for profit,Australia,Internal,0
700,0012e0000037tTmAAI,Business Organization,Education,Not for profit,Australia,Internal,0
701,0012e0000037tTnAAI,Business Organization,Education,Not for profit,Australia,Internal,0
702,0012e0000037tToAAI,Business Organization,Education,Not for profit,Australia,Internal,0
703,0012e0000037tTpAAI,Business Organization,Education,Not for profit,Australia,Internal,0
704,0012e0000037tTqAAI,Business Organization,Education,Not for profit,Australia,Internal,0
705,0012e0000037tTrAAI,Business Organization,Education,Not for profit,Australia,Internal,0
706,0012e0000037tTsAAI,Business Organization,Education,Not for profit,Australia,Internal,0
707,0012e0000037tTtAAI,Business Organization,Education,Not for profit,Australia,Internal,0
708,0012e0000037tTuAAI,Business Organization,Education,Not for profit,Australia,Internal,0
709,0012e0000037tTvAAI,Business Organization,Education,Not for profit,Australia,Internal,0
710,0012e0000037tTwAAI,Business Organization,Education,Not for profit,Australia,Internal,0
711,0012e0000037tTxAAI,Business Organization,Education,Not for profit,Australia,Internal,0
712,0012e0000037tTyAAI,Business Organization,Education,Not for profit,Australia,Internal,0
713,0012e0000037tTzAAI,Business Organization,Education,Not for profit,Australia,Internal,0
714,0012e0000037tU0AAI,Business Organization,Education,Not for profit,Australia,Internal,0
715,0012e0000037tU1AAI,Business Organization,Education,Not for profit,Australia,Internal,0
716,0012e0000037tU2AAI,Business Organization,Education,Not for profit,Australia,Internal,0
717,0012e0000037tU3AAI,Business Organization,Education,Not for profit,Australia,Internal,0
718,0012e0000037tU4AAI,Business Organization,Education,Not for profit,Australia,Internal,0
719,0012e0000037tU5AAI,Business Organization,Education,Not for profit,Australia,Internal,0
720,0012e0000037tU6AAI,Business Organization,Education,Not for profit,Australia,Internal,0
721,0012e0000037tU7AAI,Business Organization,Education,Not for profit,Australia,Internal,0
722,0012e0000037tU8AAI,Business Organization,Education,Not for profit,Australia,Internal,0
723,0012e0000037tU9AAI,Business Organization,Education,Not for profit,Australia,Internal,0
724,0012e0000037tUAAAY,Business Organization,Education,Not for profit,Australia,Internal,0
725,0012e0000037tUBAAY,Business Organization,Education,Not for profit,Australia,Internal,0
726,0012e0000037tUCAAY,Business Organization,Education,Not for profit,Australia,Internal,0
727,0012e0000037tUDAAY,Business Organization,Education,Not for profit,Australia,Internal,0
728,0012e0000037tUEAAY,Business Organization,Education,Not for profit,Australia,Internal,0
729,0012e0000037tUFAAY,Business Organization,Education,Not for profit,Australia,Internal,0
730,0012e0000037tUGAAY,Business Organization,Education,Not for profit,Australia,Internal,0
731,0012e0000037tUHAAY,Business Organization,Education,Not for profit,Australia,Internal,0
732,0012e0000037tUIAAY,Business Organization,Education,Not for profit,Australia,Internal,0
733,0012e0000037tUJAAY,Business Organization,Education,Not for profit,Australia,Internal,0
734,0012e0000037tUKAAY,Business Organization,Education,Not for profit,Australia,Internal,0
735,0012e0000037tULAAY,Business Organization,Education,Not for profit,Australia,Internal,0
736,0012e0000037tUMAAY,Business Organization,Education,Not for profit,Australia,Internal,0
737,0012e0000037tUNAAY,Business Organization,Education,Not for profit,Australia,Internal,0
738,0012e0000037tUOAAY,Business Organization,Education,Not for profit,Australia,Internal,0
739,0012e0000037tUPAAY,Business Organization,Education,Not for profit,Australia,Internal,0
740,0012e0000037tUQAAY,Business Organization,Education,Not for profit,Australia,Internal,0
741,0012e0000037tURAAY,Business Organization,Education,Not for profit,Australia,Internal,0
742,0012e0000037tUSAAY,Business Organization,Education,Not for profit,Australia,Internal,0
743,0012e0000037tUTAAY,Business Organization,Education,Not for profit,Australia,Internal,0
744,0012e0000037tUUAAY,Business Organization,Education,Not for profit,Australia,Internal,0
745,0012e0000037tUVAAY,Business Organization,Education,Not for profit,Australia,Internal,0
746,0012e0000037tUWAAY,Business Organization,Education,Not for profit,Australia,Internal,0
